calibdensity_B41	depth_calibdensity_B41
0.3668816	0.0996299
0.3661819	0.09977794
0.3686776	0.09992598
0.3729691	0.100074
0.3742519	0.1002221
0.3785668	0.1003701
0.378077	0.1005181
0.379733	0.1006662
0.3832316	0.1008142
0.3826251	0.1009623
0.3814822	0.1011103
0.3819021	0.1012583
0.3857039	0.1014064
0.3837913	0.1015544
0.3809925	0.1017024
0.3800129	0.1018505
0.3815989	0.1019985
0.3791499	0.1021466
0.3753948	0.1022946
0.3746018	0.1024426
0.3749283	0.1025907
0.3772607	0.1027387
0.3791032	0.1028868
0.3783802	0.1030348
0.3780537	0.1031828
0.3797563	0.1033309
0.3827184	0.1034789
0.3856805	0.1036269
0.3822519	0.103775
0.3840479	0.103923
0.3814123	0.1040711
0.3815289	0.1042191
0.3820421	0.1043671
0.3867767	0.1045152
0.3859604	0.1046632
0.3843977	0.1048113
0.3844444	0.1049593
0.3807592	0.1051073
0.3801761	0.1052554
0.3802461	0.1054034
0.3802694	0.1055514
0.377144	0.1056995
0.3756747	0.1058475
0.3761644	0.1059956
0.3724093	0.1061436
0.3734123	0.1062916
0.3722461	0.1064397
0.3704968	0.1065877
0.3710566	0.1067358
0.3695638	0.1068838
0.3654822	0.1070318
0.3663918	0.1071799
0.3674881	0.1073279
0.3646659	0.1074759
0.366835	0.107624
0.3625434	0.107772
0.3647125	0.1079201
0.3593714	0.1080681
0.3605609	0.1082161
0.3601877	0.1083642
0.3600944	0.1085122
0.3582519	0.1086603
0.3574355	0.1088083
0.3589982	0.1089563
0.3562693	0.1091044
0.3531906	0.1092524
0.3483626	0.1094004
0.3468233	0.1095485
0.34666	0.1096965
0.3444442	0.1098446
0.3400128	0.1099926
0.3383568	0.1101406
0.3355346	0.1102887
0.3286074	0.1104367
0.3270214	0.1105848
0.327278	0.1107328
0.3259486	0.1108808
0.3229631	0.1110289
0.3235462	0.1111769
0.3218436	0.1113249
0.3214704	0.111473
0.3224267	0.111621
0.3219369	0.1117691
0.319208	0.1119171
0.3213072	0.1120651
0.3203276	0.1122132
0.3175054	0.1123612
0.3176453	0.1125093
0.3200243	0.1126573
0.3197678	0.1128053
0.3202343	0.1129534
0.3220535	0.1131014
0.3220535	0.1132494
0.3255054	0.1133975
0.320934	0.1135455
0.323243	0.1136936
0.3226133	0.1138416
0.3246658	0.1139896
0.3208873	0.1141377
0.3239894	0.1142857
0.3247357	0.1144338
0.3249923	0.1145818
0.3246424	0.1147298
0.3247357	0.1148779
0.3301468	0.1150259
0.3283975	0.1151739
0.3278611	0.115322
0.3299136	0.11547
0.3306599	0.1156181
0.3297503	0.1157661
0.3287241	0.1159141
0.3311264	0.1160622
0.3318728	0.1162102
0.3345783	0.1163583
0.3335754	0.1165063
0.3352547	0.1166543
0.332969	0.1168024
0.3358611	0.1169504
0.3356746	0.1170984
0.3350681	0.1172465
0.3352314	0.1173945
0.3371206	0.1175426
0.3352081	0.1176906
0.3321294	0.1178386
0.3335054	0.1179867
0.3354646	0.1181347
0.3392197	0.1182828
0.3376804	0.1184308
0.3385667	0.1185788
0.3389865	0.1187269
0.3379369	0.1188749
0.3378437	0.1190229
0.3387999	0.119171
0.3377503	0.119319
0.3362576	0.1194671
0.3371672	0.1196151
0.3367474	0.1197631
0.3392197	0.1199112
0.3363742	0.1200592
0.3379603	0.1202073
0.33859	0.1203553
0.3393597	0.1205033
0.3407824	0.1206514
0.3447941	0.1207994
0.3443043	0.1209474
0.3455171	0.1210955
0.3463334	0.1212435
0.3444909	0.1213916
0.34666	0.1215396
0.3495521	0.1216876
